Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
YXHBKMNG,journalArticle,2023,"Wirtz, Marco",nPro: A web-based planning tool for designing district energy systems and thermal networks,Energy,,0360-5442,10.1016/j.energy.2022.126575,https://www.sciencedirect.com/science/article/pii/S0360544222034624,"District energy systems play a key role in the energy transition, especially for the decarbonization of the heating and cooling sector. However, there is a lack of suitable software tools to simulate and optimize district energy systems in the conceptual design phase. In this paper, the web-based tool nPro for planning district energy systems is presented which focuses on district heating and cooling networks and is available at www.npro.energy. The tool helps to generate tailor-made demand profiles for space heating, domestic hot water, space cooling, process cooling, as well as electricity demands (plug-loads and e-mobility). In addition, simulation models for district heating and cooling networks (including 5th generation district heating and cooling) are implemented. Key advantage over existing tools is that the scope of input data is tailored for the early planning phase when only a few design parameters and boundary conditions of a district are known. Small computation times allow for frequent iterations as they typically occur in the early planning phase. With its easy-to-use graphical user interface, the tool can also be used by non-specialists outside the academic community.",4/1/2023,7/3/2023 19:09,7/18/2023 15:43,7/3/2023 19:09,126575,,,268,,Energy,nPro,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\yuhang.zhang\Zotero\storage\JLUPMFLS\Wirtz - 2023 - nPro A web-based planning tool for designing dist.pdf; C:\Users\yuhang.zhang\Zotero\storage\GLXTD6QZ\S0360544222034624.html,,,5GDHC; District heating; District cooling; 4GDH; District energy; Hybrid energy system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJVZMKQQ,journalArticle,2023,"Gjoka, Kristian; Rismanchi, Behzad; Crawford, Robert H.",Fifth-generation district heating and cooling systems: A review of recent advancements and implementation barriers,Renewable and Sustainable Energy Reviews,,1364-0321,10.1016/j.rser.2022.112997,https://www.sciencedirect.com/science/article/pii/S1364032122008784,"As global urbanisation levels continue to rise, supplying urban areas with low emissions energy becomes imperative in the fight against climate change. In areas with high demand density, district heating and cooling systems are generally a more efficient alternative compared to individual solutions, but current systems are mainly powered by fossil fuels and suffer from significant thermal losses due to high operating temperatures. Fifth-generation district heating and cooling systems (5GDHC) is a promising technology, able to address these drawbacks. 5GDHC systems operate at near ambient temperature, ensuring efficient integration of renewable energy sources and waste heat recovery potential. Their ability to provide simultaneous heating and cooling through the same pipeline and bidirectional energy flows allow for load balancing through the harvesting of demand synergies between different users. 5GDHC systems can play an important role in the energy transition but not much is known about their environmental performance over their life cycle and the novelty of the concept means that planning and design guidelines are scarcely present in the literature, hindering their development and further adoption. This study critically reviews recent advancements in the relevant literature as the 5GDHC technology transitions from research and development to the demonstration phase. Moreover, the paper addresses the design parameters and methodologies encountered in the literature for the modelling and operation of 5GDHC systems. Finally, the economic and environmental performance are discussed while presenting an overview of future developments and challenges related to full-scale deployment.",1/1/2023,4/3/2023 9:10,7/18/2023 15:44,4/3/2023 9:10,112997,,,171,,Renewable and Sustainable Energy Reviews,Fifth-generation district heating and cooling systems,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\yuhang.zhang\Zotero\storage\BW7FXJ4A\Gjoka et al. - 2023 - Fifth-generation district heating and cooling syst.pdf; C:\Users\yuhang.zhang\Zotero\storage\P46QVWUB\S1364032122008784.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F6ZNE64Z,journalArticle,2023,Y.L. Shao; K.Y. Soh; M.R. Islam; K.J. Chua,"Thermal, exergy and economic analysis of a cascaded packed-bed tank with multiple phase change materials for district cooling system",,,,10.1016/j.energy.2023.126746,https://www.sciencedirect.com/science/article/pii/S0360544223001408,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,"C:\Users\yuhang.zhang\Zotero\storage\Z5DHBQES\Y.L. Shao et al. - 2023 - Thermal, exergy and economic analysis of a cascade.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET966K79,journalArticle,2023,Michael Taylor; Wu Gao; Shakil Masum; Meysam Qadrdan,Techno-economic assessment of Bi-directional Low Temperature Networks,,,,10.1016/j.apenergy.2023.121202,https://www.sciencedirect.com/science/article/pii/S0306261923005664,,2023,7/17/2023 21:50,7/18/2023 15:42,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\WHMC2DNC\2023 - Techno-economic assessment of Bi-directional Low T.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6IQTN3GP,journalArticle,2023,Nicholas Brunt; Jean Duquette; William O'Brien,Techno-economic and environmental performance of two state-of-the-art solar-assisted district energy system topologies,,,,10.1016/j.energy.2023.127638,https://www.sciencedirect.com/science/article/pii/S0360544223010320,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\WJYXYREG\Nicholas Brunt et al. - 2023 - Techno-economic and environmental performance of t.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGV6SW64,journalArticle,2023,Puneet Saini; Pei Huang; Frank fiedler; Anna Volkova; Xingxing Zhang,Techno-economic analysis of a 5th generation district heating system using thermo-hydraulic model: A multi-objective analysis for a case study in heating …,,,,10.1016/j.enbuild.2023.113347,https://www.sciencedirect.com/science/article/pii/S0378778823005777,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\83QQJW5Q\Puneet Saini et al. - 2023 - Techno-economic analysis of a 5th generation distr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3MAQSBC,journalArticle,2023,Yuexuan Gong; Guoyuan Ma; Yuepeng Jiang; Lei Wang,Research progress on the fifth-generation district heating system based on heat pump technology,,,,10.1016/j.jobe.2023.106533,https://www.sciencedirect.com/science/article/pii/S235271022300712X,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\QURFD56K\Yuexuan Gong et al. - 2023 - Research progress on the fifth-generation district.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFZKBF7M,journalArticle,2023,Wei Dai; Wenjiao Xia; Huihwang Goh; Zining Liu; Ceheng Luo; Fangjun Wen; Zhijie Zhang,Reduce operational costs of thermal power units in power systems using the flexibility of district cooling systems,,,,10.1016/j.egyr.2023.04.138,https://www.sciencedirect.com/science/article/pii/S2352484723005048,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\9TYITESB\Wei Dai et al. - 2023 - Reduce operational costs of thermal power units in.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JTSXIBCF,journalArticle,2023,Yichi Zhang; Pär Johansson; Angela Sasic Kalagasidis,Quantification of overlapping heating and cooling demand for the feasibility assessment of bi-directional systems over Europe,,,,10.2139/ssrn.4372787,https://www.sciencedirect.com/science/article/pii/S0378778823004747,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\3GDZAIPG\Yichi Zhang et al. - 2023 - Quantification of overlapping heating and cooling .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMNE3XEZ,journalArticle,2023,Paolo Sdringola; Mattia Ricci; Maria Alessandra Ancona; Federico Gianaroli; Cristina Capodaglio; Francesco Melino,Modelling a Prototype of Bidirectional Substation for District Heating with Thermal Prosumers,,,,10.3390/su15064938,https://www.mdpi.com/2071-1050/15/6/4938,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,C:\Users\yuhang.zhang\Zotero\storage\HN3NNNQZ\Paolo Sdringola et al. - 2023 - Modelling a Prototype of Bidirectional Substation .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8YHK5GWW,journalArticle,2023,Emad Ali; Abdelhamid Ajbar; Bilal Lamrani,Modeling and Dynamic Simulation of a Phase-Change Material Tank for Powering Chiller Generators in District Cooling Networks,,,,10.3390/su151310332,https://www.mdpi.com/2071-1050/15/13/10332,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,C:\Users\yuhang.zhang\Zotero\storage\J2JS3XYG\Emad Ali et al. - 2023 - Modeling and Dynamic Simulation of a Phase-Change .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNG9JFWB,journalArticle,2023,Manish Kumar Yadav; Ashu Verma; Bijaya Ketan Panigrahi,Frequency Regulation Support from District Cooling System and V2G Facility in Cluster of Buildings,,,,10.1109/icsmartgrid58556.2023.10171099,https://ieeexplore.ieee.org/abstract/document/10171099/,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: IEEE,,C:\Users\yuhang.zhang\Zotero\storage\6JYLWZ9Y\Manish Kumar Yadav et al. - 2023 - Frequency Regulation Support from District Cooling.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K4VSPE6F,journalArticle,2023,Meryem TERHAN; Sena Saliha ABAK,"Energy, exergy analysis and optimization of insulation thickness on buildings in a low-temperature district heating system",,,,10.18186/thermal.1243502,https://dergipark.org.tr/en/pub/thermal/issue/75743/1243502,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Journal of Thermal Engineering,,"C:\Users\yuhang.zhang\Zotero\storage\KBD32FQ4\Meryem TERHAN and Sena Saliha ABAK - 2023 - Energy, exergy analysis and optimization of insula.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGKFYEU4,journalArticle,2023,Marlena Rogowska,"District energy within the planning context: Exploring the barriers and opportunities for district energy and community energy solutions in ontario, canada",,,,10.32920/ryerson.14661681.v1,https://scholar.archive.org/work/rs7oaus3kvgn3ay6egrnzxnr7y/access/wayback/https://s3.ca-central-1.amazonaws.com/pstorage-ryerson-5010877717/28144377/Rogowska_Marlena.pdf,,2023,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Ryerson University Library and Archives,,C:\Users\yuhang.zhang\Zotero\storage\TH6WYP9T\Marlena Rogowska - 2023 - District energy within the planning context Explo.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
