title,num_citations,year,excerpt,url,url_pdf,indicator,key_words,doi,authors,issued,abstract,link,is_referenced_by_count
"Mechanical, electrical, plumbing and tenant improvements over the building lifetime: Estimating material quantities and embodied carbon for climate change …",61,2020.0,… building undergo through during their service life. MEP and TI are installed … carbon (EC). This study aimed to establish a preliminary range of material quantities and embodied carbon …,https://www.sciencedirect.com/science/article/pii/S0378778819340071,,0,"whole life carbon, plumbing",10.1016/j.enbuild.2020.110324,Barbara X. Rodriguez; Monica Huang; Hyun Woo Lee; Kathrina Simonen; Jim Ditto,2020-11,,https://api.elsevier.com/content/article/PII:S0378778819340071?httpAccept=text/xml,42
"Evaluating Environmental Impacts: Embodied Carbon Assessment of Ventilation, Electrical, and Plumbing Systems in Swedish School Architecture",2,2024.0,"… the embodied carbon within these building service systems. Utilizing established life cycle … the embodied carbon emissions of the ventilation, electrical, and plumbing systems for stages …",https://lup.lub.lu.se/student-papers/search/publication/9161808,,0,"whole life carbon, plumbing",10.2139/ssrn.5007397,Matt Roberts; Claudiane  M. Ouellet-Plamondon; Paul Raftery,2024,,,0
A physical study of plumbing life cycle in apartment houses,17,2001.0,"… the life-span range of plumbing systems in buildings and a simple model of the whole life cycle. … of the life-cycle model, which could be of use in building life-cycle planning and design. …",https://www.sciencedirect.com/science/article/pii/S0360132300000792,,0,"whole life carbon, plumbing",10.1016/s0360-1323(00)00079-2,Cheng-Li Cheng,2001-11,,https://api.elsevier.com/content/article/PII:S0360132300000792?httpAccept=text/xml,5
"Mechanical, electrical, plumbing and tenant improvements over the building lifetime: Estimating material quantities and embodied carbon for climate change mitigation",0,2020.0,"… by 2030, and all existing buildings operate at net zero carbon by 2050 [33]. Achieving … of whole building life carbon, which is the sum of operational carbon (OC) and embodied carbon (…",https://repositorio.uchile.cl/handle/2250/178744,,0,"whole life carbon, plumbing",10.1016/j.enbuild.2020.110324,Barbara X. Rodriguez; Monica Huang; Hyun Woo Lee; Kathrina Simonen; Jim Ditto,2020-11,,https://api.elsevier.com/content/article/PII:S0378778819340071?httpAccept=text/xml,42
Whole building life cycle assessment of a living building,30,2020.0,"A whole building life cycle assessment (LCA) was performed on a Living Building, focusing on impacts from green building materials, a decentralized water system, a net-positive use …",https://ascelibrary.org/doi/full/10.1061/(ASCE)AE.1943-5568.0000436,,0,"whole life carbon, plumbing",10.1061/(asce)ae.1943-5568.0000436,Haley M. Gardner; Vaclav Hasik; Abdulaziz Banawi; Maureen Olinzock; Melissa M. Bilec,2020-12,,https://ascelibrary.org/doi/pdf/10.1061/%28ASCE%29AE.1943-5568.0000436,18
Plumbing the global carbon cycle: integrating inland waters into the terrestrial carbon budget,4628,2007.0,"… carbon cycle at either global or regional scales. By taking published estimates of gas exchange, sediment accumulation, and carbon … ecosystems in the global carbon cycle. Our analysis …",https://link.springer.com/article/10.1007/s10021-006-9013-8,,0,"whole life carbon, plumbing",10.1007/s10021-006-9013-8,J. J. Cole; Y. T. Prairie; N. F. Caraco; W. H. McDowell; L. J. Tranvik; R. G. Striegl; C. M. Duarte; P. Kortelainen; J. A. Downing; J. J. Middelburg; J. Melack,2007-2,,https://link.springer.com/content/pdf/10.1007/s10021-006-9013-8.pdf,2805
Comparative analysis of the whole life carbon of three construction methods of a UK-based supermarket,14,2023.0,"… life cycle assessment methodology, this paper examines the potential of minimising both embodied and operational carbon by observing the whole life carbon… augment carbon emission …",https://journals.sagepub.com/doi/abs/10.1177/01436244231161070,,0,"whole life carbon, plumbing",10.1177/01436244231161070,Golnaz Mohebbi; Agha Hasan; Augustine Blay-Armah; Ali Bahadori-Jahromi; Anastasia Mylona; Mark Barthorpe,2023-3-6,"<jats:p> The built environment has been a significant contributor to global carbon emissions. It, therefore, has a vital role to play in the reduction efforts of future climate change. While the design of buildings may determine future energy use for cooling, heating, and lighting during the operational stage of the building, this study aims to observe the effect of the building design on the operational as well as the whole-life carbon emissions. Past studies have focused on either the operational carbon or the embodied carbon of a building. Using a cradle-to-grave assessment of a typical UK supermarket, this study explores the relationship between embodied carbon and operational carbon. Additionally, it examines the effects of the variables between three approved construction methods of the same design on the whole life of carbon. These methods are a steel structural frame and cladding panel external wall, steel frame and poroton walls, precast concrete and glulam frame and precast concrete walls. The findings of this research will contribute to mitigation strategies for the environmental impacts of supermarket building construction whilst providing a framework for future assessment of the whole-life carbon of supermarket buildings. </jats:p><jats:sec><jats:title/><jats:p> Employing the life cycle assessment methodology, this paper examines the potential of minimising both embodied and operational carbon by observing the whole life carbon. Highlighting the influence of the GHG emission contributing factors in each stage on each other. Additionally, the recommended methodology for the supermarket building types of this case study, could be adapted for other types of buildings. The findings could also augment carbon emission research and guide the development of supermarket buildings to low carbon intensive. Furthermore, collaboration with the industry in carrying out this research aids in adopting the findings as practical and theoretical guides for engineers and designers in reducing the building sector’s harmful environmental impact. </jats:p></jats:sec>",https://journals.sagepub.com/doi/pdf/10.1177/01436244231161070,6
A comparative study of the whole life carbon of a radiant system and an all-air system in a non-residential building,8,2023.0,… reduce carbon emissions from the building sector. This study focused on the whole life carbon … A methodology to compare the whole life carbon of different HVAC systems was proposed …,https://www.sciencedirect.com/science/article/pii/S0378778823008988,,0,"whole life carbon, plumbing",10.1016/j.enbuild.2023.113668,Kan Shindo; Jun Shinoda; Ongun B. Kazanci; Dragos-Ioan Bogatu; Shin-ichi Tanabe; Bjarne W. Olesen,2023-12,,https://api.elsevier.com/content/article/PII:S0378778823008988?httpAccept=text/xml,7
Health aspects of plumbing,2,2006.0,"… However, even standard single-family domestic buildings present health risks to both occupants and neighbours if faulty plumbing is installed or if plumbing is not maintained. …",https://iris.who.int/bitstream/handle/10665/43423/9241563184_eng.pdf;sequence=1,,0,"whole life carbon, plumbing",10.1016/b978-193374207-6/50017-7,,2006,,,0
Study on comprehensive whole life carbon emission reduction potential and economic feasibility impact based on progressive energy-saving targets: A typical …,51,2022.0,"… Carbon emission for green building and ULEB were calculated to be 5583 kgCO 2 eq/m 2 … carbon emission reduction potential (CERP) of 17.6% and 42.6%, for the whole 50 years …",https://www.sciencedirect.com/science/article/pii/S2352710222010397,,0,"whole life carbon, plumbing",10.1016/j.jobe.2022.105029,Yiting Kang; Wei Xu; Jianlin Wu; Han Li; Ruijie Liu; Shilei Lu; Xian Rong; Xiaolong Xu; Feng Pang,2022-10,,https://api.elsevier.com/content/article/PII:S2352710222010397?httpAccept=text/xml,28
